LIMIT_BAL,AGE,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
63518,33,1,2,-1,0,-1,-1,0,-1,37380,34170,36983,11317,16362,11518,10156,15537,1164,4288,1390,6231,0
148673,51,1,2,-1,0,0,-1,0,0,91734,51197,32680,85379,21896,51470,42376,21485,10200,38384,8175,0,0
44917,57,2,1,-1,-1,-1,0,-1,0,22478,2968,15906,4789,24528,15719,13809,573,6060,909,5604,4389,0
155596,71,1,1,-1,-1,-1,0,0,-1,54317,129143,40202,20278,105348,137043,13994,35484,4406,1327,16287,10440,0
44293,44,2,2,0,0,0,-1,-1,-1,13406,7450,26771,14125,4776,29014,610,1832,7224,0,767,7006,0
68045,29,2,1,-1,-1,0,0,0,0,7631,16514,15271,50297,23779,26288,3552,8426,5900,28244,4783,4797,0
84734,65,1,2,-1,0,-1,-1,-1,-1,52558,10742,13857,52294,23368,50881,32400,1588,2743,0,3192,17452,0
44958,55,3,1,-1,6,0,-1,0,-1,20596,15531,32933,17817,22895,25444,6690,0,0,11703,15798,5305,0
188676,58,2,2,-1,0,0,3,0,0,45440,119973,29924,34762,86637,54788,1705,36219,0,5469,25757,4943,1
13365,26,2,1,0,0,0,1,0,-1,5667,4075,8247,8735,5034,2920,1232,1270,0,4805,2497,541,0
46411,37,2,2,0,0,0,-1,-1,0,24332,7818,23119,12417,16011,12234,6713,1895,3251,3623,1076,5305,0
40203,62,3,1,-1,0,0,0,-1,1,24386,0,25447,15228,6928,14527,6585,0,1265,315,5040,5066,0
71332,65,1,2,0,-1,-1,2,3,3,52139,23513,18229,41523,13734,48828,15399,12211,6902,17132,0,2002,0
35656,44,2,1,3,0,-1,0,0,0,18089,18340,10159,21522,11151,4724,6534,680,0,3268,190,726,0
31959,64,2,2,0,6,0,2,4,0,18708,15102,18057,17361,17085,8432,6776,2327,0,822,5834,5111,1
233394,66,1,1,-1,0,-1,-1,0,-1,64590,166728,53517,135010,110780,53551,0,21926,0,5873,25001,28819,0
46324,41,2,2,-1,-1,0,0,-1,0,25557,23829,24341,24317,9552,7420,0,1657,4587,1121,2919,374,0
241272,69,4,2,-1,5,-1,0,-1,0,27222,93936,48644,111967,40445,139575,7916,0,8269,30279,0,54418,0
74803,36,2,2,4,1,-1,3,0,-1,13317,28451,23121,18051,16391,33262,0,4200,3487,5262,1448,7562,1
38881,33,2,2,-1,-1,-1,-1,-1,6,25757,14235,13053,4708,16683,16146,3648,0,4238,2524,0,10721,0
76278,57,2,2,3,6,2,6,1,0,27752,49234,27235,29776,27829,34730,12837,27031,5749,2953,19400,6619,1
37439,55,3,2,0,0,0,0,-1,-1,10134,24939,23046,954,27501,25292,6110,8031,7530,0,10733,2772,0
100400,28,3,1,3,4,-1,-1,-1,-1,33548,15812,12924,46383,46195,16635,9608,0,6922,9952,0,2863,1
19260,65,2,2,-1,0,0,0,-1,1,7113,14365,2928,8244,0,13562,862,4139,367,0,0,0,0
16244,31,1,1,2,-1,0,0,0,-1,6389,5873,3063,12118,7422,4372,392,825,1038,5902,2078,0,1
91606,64,1,2,0,-1,0,0,-1,-1,60204,74799,49822,30376,50053,39802,17969,2356,5141,11901,26688,7154,0
95660,21,2,1,-1,-1,-1,-1,0,-1,50934,31060,61397,3078,49601,41839,16382,8221,13161,160,6259,13308,0
43133,64,3,1,-1,0,-1,0,1,2,1804,9655,13120,17873,11025,14055,0,2616,677,2390,2433,4649,1
83950,63,2,2,-1,0,-1,0,0,0,35815,19700,78280,22928,32783,43517,15523,0,1442,0,6307,13035,0
104487,63,1,2,0,-1,0,0,0,-1,35082,56329,61219,66190,27441,41736,17792,26080,20128,19119,1745,0,0
20997,56,1,1,0,-1,0,5,0,-1,7706,3583,9550,8037,3992,7831,1386,2434,619,1848,875,526,0
61389,46,2,2,0,0,0,1,-1,0,47093,30826,6861,14573,14758,37701,6573,15412,2134,2902,821,12773,0
98395,59,3,2,0,2,1,0,0,2,57536,43058,59968,30423,53009,25967,0,16221,24703,0,1981,3852,0
78738,35,1,1,0,-1,0,0,0,3,45687,39762,40118,13357,7865,23472,2938,4678,8107,0,3218,9378,1
17189,63,2,1,-1,0,0,-1,-1,-1,4903,2739,6568,4019,5683,5058,2606,1237,0,1913,504,1409,0
37530,51,2,3,0,0,0,-1,-1,0,32496,22536,19445,6997,9246,21220,0,3689,3066,315,2724,4067,0
53569,45,3,2,-1,5,4,2,0,-1,16189,21328,23406,26556,25285,1567,7013,5451,13705,1110,3663,648,0
288651,48,1,1,0,6,-1,0,-1,0,5116,168278,120661,187203,18064,26473,2055,59484,26890,0,4140,10492,0
10000,51,3,2,-1,-1,0,1,-1,5,3767,2594,4747,5086,6811,4820,81,651,0,2614,3205,0,0
65446,23,2,1,0,-1,-1,0,-1,-1,34269,24153,51033,24970,37372,37303,20906,7600,6355,4044,20208,18168,0
23254,28,2,2,0,0,-1,-1,-1,6,12684,2831,3306,9660,1923,8723,792,0,613,1145,745,5739,0
103017,34,1,1,0,-1,0,5,-1,-1,76268,13330,14675,71939,10732,67282,3630,4543,1265,14896,2066,8605,1
78453,27,2,1,0,-1,0,5,0,-1,20892,25785,37364,21885,14407,43707,13440,579,6659,10353,449,14920,0
40679,44,2,1,0,-1,-1,-1,-1,-1,14747,19898,12246,11704,1130,36251,4784,14971,4941,3530,187,1032,0
113749,57,1,2,4,0,-1,0,0,-1,18729,9043,39118,60708,54513,73384,3212,2668,12726,3220,13208,0,0
122017,56,2,1,-1,-1,0,-1,4,4,56824,30925,16484,80399,39646,26469,10248,1772,8202,17313,1035,4754,0
42973,46,2,2,0,-1,-1,-1,0,-1,33709,16974,13116,22007,17933,21722,24854,4372,1767,1943,7006,0,0
16819,67,2,2,5,-1,3,6,-1,-1,7401,3677,3819,0,3860,5521,605,1382,0,0,0,972,0
214685,51,1,2,-1,-1,-1,0,0,-1,61020,102987,56485,58201,48498,94471,15280,2699,1767,0,5930,56027,0
95125,25,2,2,-1,0,-1,0,0,3,43535,6564,40947,16422,30651,59896,18691,971,8447,10614,0,6957,0
107740,62,1,1,0,0,-1,-1,0,0,32346,41014,68525,18168,19266,61339,3963,22111,0,11807,2520,8069,0
19742,52,3,1,0,0,-1,0,0,4,5517,3042,19742,5825,5157,16340,2028,0,14174,2580,1326,8566,0
75483,55,3,1,-1,0,-1,0,-1,5,29001,13918,28579,41679,59827,18119,18548,5415,14246,7426,25831,3713,0
351657,51,1,2,0,-1,0,-1,0,0,186682,238574,167385,66191,127537,44739,115004,55532,25349,48742,0,0,0
62281,50,1,1,0,-1,-1,-1,1,1,49496,10092,48445,11575,47559,22119,8120,1630,6517,5691,19970,4916,1
74018,25,1,2,0,0,-1,0,0,0,28758,13476,38900,29990,60939,36708,4203,3753,8467,0,4953,0,0
20907,51,2,2,-1,-1,0,-1,0,0,8452,16073,12866,3000,2967,12316,2991,0,1401,0,614,5177,0
19296,63,3,2,6,3,1,0,0,0,3189,9075,10961,9590,3350,4388,307,4627,995,3707,579,0,1
20750,37,2,2,-1,5,-1,-1,0,-1,20750,8057,6535,5767,10490,1420,1104,911,1402,476,1453,359,1
76201,53,1,1,4,-1,-1,0,0,-1,16511,13520,36224,14010,40308,46435,1448,778,17144,6195,18244,22499,1
52252,22,1,1,0,4,2,-1,-1,-1,27575,26385,40397,13303,13977,14132,25381,0,5988,316,0,7025,0
92476,39,1,2,5,1,-1,-1,0,0,40485,38230,32784,47695,64491,24091,12345,7506,0,762,3562,1965,1
16811,44,3,1,3,-1,5,-1,6,4,4121,16024,6258,2895,10907,6920,260,6805,2376,95,3464,2347,1
42871,74,2,2,-1,0,0,0,0,0,5840,12279,25475,17082,20854,15590,2459,4417,8413,3688,0,0,0
22860,32,2,2,-1,-1,-1,-1,-1,0,7360,15241,13720,21240,7879,7069,1084,0,1576,763,1538,3640,0
79740,35,1,1,-1,-1,0,-1,-1,-1,41093,4112,17026,55511,23610,14174,7312,511,4896,8111,3156,7315,0
10000,43,3,1,3,3,5,-1,-1,6,7893,5804,10000,2327,4597,5483,2652,0,2579,405,1557,3385,1
77476,74,1,1,-1,-1,-1,0,0,-1,57073,45285,43868,53892,52085,1736,24323,4246,225,8300,14348,453,0
27456,67,3,1,5,4,5,3,3,1,12952,16088,7244,11469,7042,12860,903,4834,2705,5033,2013,296,1
39659,22,3,2,1,6,-1,6,6,6,4184,17545,34792,17560,23639,10310,328,6099,7811,0,1711,3800,1
13071,33,2,2,0,0,0,0,0,-1,4303,2500,5866,12683,8679,7081,540,0,940,2510,1195,1373,0
57936,65,3,1,-1,-1,3,-1,0,-1,24931,22452,48313,23914,26071,42397,0,7104,11817,6675,0,12135,0
54039,24,1,2,0,-1,0,-1,3,1,8024,32368,8494,26980,26424,26794,3051,0,2733,3685,12017,3515,0
58319,67,2,1,0,0,0,0,-1,-1,22981,45316,4825,34849,24243,37983,10344,0,0,12958,5666,14730,0
15373,36,1,3,-1,-1,0,-1,-1,-1,9482,15373,1595,7120,9442,8554,3153,6885,79,1364,1818,1220,0
18138,70,2,2,-1,-1,-1,0,0,-1,4505,0,5777,10629,7197,8224,1383,0,780,684,0,3439,0
50229,36,1,1,0,0,-1,0,-1,-1,26385,36296,6082,27781,7529,14139,1379,16533,249,0,2179,8811,0
206255,44,1,2,-1,-1,-1,6,-1,-1,61082,71005,86808,107904,63404,118390,0,16605,0,50286,20694,21056,0
104640,56,1,2,-1,0,-1,-1,0,0,37865,62262,33007,42647,38581,75295,12042,6624,7448,8495,653,40139,0
76143,27,1,1,5,0,0,0,1,3,45714,9849,11392,26876,36717,36839,25222,0,9243,6344,6732,6860,1
23401,51,2,1,0,6,0,0,0,-1,4620,17433,16254,0,4671,11031,823,5376,7400,0,1009,0,0
20231,48,2,2,0,-1,0,-1,0,0,5628,4549,3732,17373,14751,13672,1453,3429,1799,4655,0,0,0
85630,63,1,1,0,0,-1,0,-1,-1,38832,21978,8881,48064,52927,39483,2224,7227,1252,7233,22712,14934,0
60106,74,4,1,2,0,-1,1,1,-1,48727,33909,14808,20064,26419,34343,3738,16582,1580,12998,14261,0,1
40558,56,3,1,0,3,1,6,4,0,11271,15046,16131,6917,25565,17762,1044,2653,2142,1652,10937,5447,0
269444,43,1,2,-1,1,0,3,5,-1,46563,110879,40287,165931,83540,99626,0,0,0,5298,27124,48598,0
28396,42,2,1,0,0,-1,-1,0,0,11386,8622,20379,10781,2271,6333,0,426,0,4004,357,0,0
56584,43,2,2,0,-1,0,-1,-1,-1,42866,12835,10027,16659,34764,28597,8735,1407,0,4087,11206,3359,0
12650,64,2,1,0,-1,0,0,-1,-1,4086,3610,2953,3261,4885,3501,788,0,1651,479,3354,314,0
58037,38,2,1,0,-1,-1,-1,0,0,37189,22860,16567,18647,26981,726,13262,2250,4103,1555,11501,56,0
158815,30,2,2,0,-1,0,3,5,-1,96108,83161,25852,22436,18228,16257,37113,10041,5326,10236,1544,7032,0
29829,39,1,1,-1,-1,3,3,0,0,6262,18681,16890,2239,14638,1664,0,1269,1706,519,0,586,0
134615,22,1,2,-1,-1,-1,0,-1,0,59294,62673,21355,30425,53780,50394,0,4630,7534,8299,22011,10180,0
155256,26,2,1,0,-1,-1,6,-1,-1,51798,107108,7898,111652,27380,28013,25694,7858,0,11807,2334,17079,0
28232,25,2,2,-1,-1,0,-1,0,2,6803,7993,6897,954,7982,2138,536,2233,877,64,2274,1263,0
49855,62,3,1,4,0,1,2,1,0,27769,13484,41306,2538,30870,4861,9305,1985,14192,0,13592,337,1
242844,60,1,2,-1,-1,0,0,-1,-1,68962,156044,61533,93179,46369,113439,15812,35009,15753,14526,0,43131,0
82524,58,1,1,0,0,0,0,-1,-1,28496,44776,3117,39322,21331,26047,4026,11583,63,30508,4482,1049,0
128777,45,1,2,0,0,-1,-1,0,0,75546,7455,35268,42682,53553,30069,1792,1060,16198,12921,11631,0,0
16602,59,1,1,-1,0,0,2,0,0,11506,12546,11266,8144,10046,11565,883,0,3722,540,5212,4874,0
110655,29,1,1,0,-1,0,0,0,0,15298,85901,67480,14890,60628,64595,0,42987,32768,1874,20471,37294,0
74145,69,2,2,-1,-1,-1,-1,0,0,32570,41401,24500,26223,10080,31078,10116,1886,1409,3698,4399,10728,0
16967,48,2,1,4,0,-1,-1,-1,0,8746,14119,4696,7798,3103,0,1193,0,0,2715,1549,0,1
22664,71,2,2,-1,0,0,0,0,0,10908,0,14685,2679,1666,6372,1112,0,2206,18,481,3192,0
79475,29,2,2,0,-1,0,0,-1,-1,19849,48593,41482,36187,36993,22595,4320,24406,15000,14246,11289,0,0
53868,47,1,2,0,0,1,-1,-1,0,26424,24410,4976,23401,22285,34616,0,9976,2562,8510,6926,0,0
119318,58,2,2,0,0,0,-1,0,0,9842,39334,63851,63478,20184,70053,4773,9381,3014,6926,5173,15288,0
87996,47,1,2,0,0,-1,0,2,6,19504,36900,57847,63741,48215,18519,7084,0,26385,10117,21319,632,0
35899,45,3,2,5,0,-1,0,-1,-1,22098,11167,15051,8368,9773,9360,6475,4688,6828,835,5370,0,1
59880,29,1,1,4,5,-1,0,0,-1,24738,10204,12813,26090,5189,17296,0,4993,2927,3979,59,5629,1
61953,41,2,2,1,-1,-1,4,5,-1,25310,29493,17717,21757,46623,52933,10078,3688,2975,5935,1864,27720,1
65229,33,3,1,0,-1,-1,-1,2,3,8683,22645,41633,25180,8770,31912,2228,11474,1494,7266,1411,3693,0
75137,37,2,1,0,-1,-1,-1,-1,0,6042,54713,24474,39036,10294,38653,550,7165,0,6719,0,4049,0
34947,57,2,1,-1,-1,0,0,0,0,20566,6786,22689,12117,12373,11551,10019,2857,2678,1915,1267,0,0
132131,55,2,1,-1,0,0,0,-1,-1,3057,43252,29443,59191,76612,848,292,19109,9306,25093,6484,196,0
116148,53,1,1,0,-1,-1,0,-1,-1,42877,6908,77340,4379,17281,47521,0,3908,28091,692,9182,20104,0
66715,40,2,1,-1,4,0,-1,0,0,34451,27212,24598,31017,2549,47785,16097,0,6720,9986,1074,10398,0
36926,72,3,2,0,1,0,0,0,6,5234,28122,15003,9724,16846,8644,1799,8244,248,0,3035,1326,0
51193,25,3,2,6,-1,-1,6,3,4,6827,10384,14050,10115,21141,9003,1743,3630,4350,252,613,2343,1
11323,39,2,2,0,-1,5,0,-1,0,4759,10505,460,6467,1937,5033,1616,2884,189,0,321,1738,0
83243,27,1,1,4,0,1,-1,0,-1,59956,34405,10723,29644,27233,67959,19452,0,2592,0,6030,24974,0
182069,39,2,1,0,0,-1,0,-1,-1,91333,90234,101015,34619,14754,61763,0,12401,0,3718,1151,10731,0
58453,72,2,2,0,0,0,4,5,0,13718,27339,18925,16338,46193,52643,0,0,655,2190,8197,14693,0
73368,40,1,1,-1,0,0,0,0,-1,22219,49180,18410,28564,21677,53499,7406,15846,3829,5501,3360,26224,0
42606,70,1,1,0,-1,2,2,1,4,9203,18179,4674,5424,11196,22866,0,3515,2559,1763,2862,11182,0
101788,47,1,2,-1,0,0,6,-1,0,71569,33523,42882,71667,70159,31759,7787,13333,1864,15222,12978,7759,0
41937,58,2,2,0,-1,-1,-1,0,-1,20446,13011,9432,17543,15328,10531,3734,952,1642,1414,1416,2509,0
195616,45,1,1,0,0,-1,-1,0,0,55867,130769,33804,49165,53595,111970,11126,0,5408,6028,39764,27394,0
34391,35,1,2,-1,-1,-1,0,0,-1,10633,22262,10999,5652,4216,8299,3297,1853,2077,156,2138,0,0
47792,62,1,2,0,2,-1,0,1,0,31170,23395,35612,14001,31831,31270,11691,6830,12622,837,6791,0,1
21218,73,3,2,2,4,1,-1,-1,4,11919,14098,12848,4928,3674,13309,0,4397,5056,2151,361,7761,1
297787,35,1,1,-1,-1,0,0,-1,0,87569,167708,148187,80587,107919,46394,16213,38710,18922,0,29074,7289,0
58962,63,1,2,-1,-1,-1,0,-1,0,19276,16944,16398,32684,32644,12268,6580,3790,10478,18455,17257,4842,0
31619,35,2,2,1,1,-1,0,-1,0,16391,20827,11755,18941,10713,3248,6862,17102,7880,9947,1286,1097,0
12887,59,1,1,0,-1,3,4,6,-1,1979,2911,3544,7453,1593,11233,0,575,1589,2827,647,7344,0
16551,63,3,2,3,5,2,3,2,3,10814,6846,7411,13238,10766,9995,951,1470,408,6794,1163,3519,1
52346,45,3,2,-1,-1,-1,4,4,2,21496,18825,14522,27424,10162,32647,783,5660,3094,3527,2873,2681,0
74540,60,2,1,-1,-1,0,-1,-1,0,53864,2699,24049,31473,13837,22481,9898,1096,0,13580,3185,5926,0
29115,35,2,2,-1,-1,-1,0,-1,2,21331,15195,9435,3718,13060,16902,1637,1314,1062,679,2854,1311,0
30438,25,2,1,0,-1,3,-1,0,0,9931,11555,16816,11701,12650,17077,3296,4463,0,0,4772,537,0
303874,26,1,2,0,0,-1,-1,0,-1,50224,158503,35264,50843,100817,166210,0,75478,3616,10641,13768,2837,0
593371,45,1,1,0,-1,-1,-1,-1,0,218165,141617,100773,185658,450999,204681,0,47941,26616,30741,157151,0,0
172179,69,1,2,-1,-1,2,0,-1,-1,28161,32692,26006,101206,157268,128695,3365,2444,20052,9237,9162,69276,0
238922,27,1,1,-1,-1,0,-1,0,-1,30097,120419,128240,87694,113517,180997,15732,46593,105071,46249,0,48847,0
202225,45,2,2,2,-1,0,0,0,-1,136125,99973,153229,61067,79824,43734,22282,26590,68828,11876,37192,8338,0
403579,59,1,2,0,0,-1,-1,0,2,31649,255577,40141,267339,97985,326168,1863,9979,10992,73673,57937,76880,0
53902,31,1,2,0,0,4,-1,0,0,23995,33324,7479,24030,31582,32631,8447,6862,2537,3254,2022,17139,0
24279,59,2,2,0,-1,-1,0,0,-1,14108,4457,5324,10061,3217,1743,5882,1116,0,0,0,0,0
212520,37,2,1,0,0,-1,0,0,-1,22143,77714,50693,19903,126229,108103,4290,25472,5570,4343,0,63561,0
31730,64,1,1,-1,-1,-1,3,0,-1,25981,13328,11143,6971,2516,16469,7921,746,951,0,1295,3671,0
30139,52,1,2,-1,0,-1,-1,0,0,14335,9827,12497,8909,5819,7863,1070,4251,190,864,667,3017,0
